image_name,type,cellprob_threshold,channel_axis,channel_nuclei,channel_segment,diameter,do_3D,flow_threshold,interp,invert,max_size_fraction,min_size,model_name,niter,norm3D,normalize,percentile_max,percentile_min,sharpen_radius,smooth_radius,stitch_threshold,tile_norm_blocksize,tile_norm_smooth3D,tile_overlap,duration,are,precision,recall,f1,jaccard,jaccard_cellpose
20240305_P013T_B005_cropped_isotropic,Nuclei,15.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,12.258232116699219,0.7966282222892783,0.5951198801918093,0.12264111320927942,0.20337177771072168,0.30590928416169666,0.3188186167783947
20240305_P013T_B005_cropped_isotropic,Nuclei,20.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,11.437210321426392,0.8260633034977125,0.8779377516477734,0.09653065693849949,0.17393669650228744,0.07917374563072255,0.0743341209322307
20240305_P013T_B005_cropped_isotropic,Nuclei,25.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,9.854642868041992,0.8283018894339629,0.9957920551673751,0.0939485299687114,0.17169811056603707,0.035962257432793306,0.002713795350274402
20240305_P013T_B005_cropped_isotropic,Nuclei,30.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,9.055603265762329,0.8284295874849055,1.0,0.09383484805181812,0.17157041251509458,0.0,0.0
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,0.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,144.18265533447266,0.15857842984143455,0.7357716498327833,0.9824992662367472,0.8414215701585654,0.7449335893567203,0.272468092043153
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,1.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,146.62868547439575,0.17749737177526748,0.7148841970820152,0.968264907979451,0.8225026282247325,0.7504616778629016,0.2859470104166862
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,2.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,147.85051703453064,0.2016305107277887,0.690727659529498,0.9457542279262806,0.7983694892722114,0.7514134228038553,0.2997084232395101
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,3.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,148.66341304779053,0.23213419729980767,0.6632492793915465,0.9116659106805692,0.7678658027001923,0.7470660488312905,0.31319575208475225
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,4.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,142.6936023235321,0.26848647649178203,0.6343784615025152,0.8637731502072751,0.7315135235082179,0.7381699728527029,0.326139483589828
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,5.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,139.07310676574707,0.3090200707403552,0.605433245318491,0.8046798130601658,0.6909799292596448,0.7258446415759574,0.3397520308807233
